#arxiv.org/pdf/astro-ph/0611418.pdf
#Honda M et al,  Phys.Rev. D75 (2007) 043006
# atmospheric muon neutrions flux in [m^2 s Sr GeV]^{-1}
# Format: Energy  1<cs<0.9 .... 0.1<cs<0  Norm     
#neutrino flux
1.259E3 0.705 0.759 0.825 0.905 1.001 1.125 1.288 1.515 1.840 2.250 1E-7 
1.585E3 0.320 0.347 0.378 0.418 0.465 0.526 0.608 0.722 0.886 1.088 1E-7 
1.995E3 1.441 1.568 1.717 1.908 2.141 2.439 2.848 3.416 4.222 5.239 1E-8 
2.512E3 0.643 0.702 0.775 0.861 0.973 1.119 1.318 1.597 2.007 2.511 1E-8 
3.162E3 0.285 0.312 0.346 0.387 0.438 0.508 0.605 0.742 0.945 1.197 1E-8 
3.981E3 1.251 1.375 1.530 1.724 1.965 2.286 2.757 3.422 4.400 5.675 1E-9 
5.012E3 0.548 0.602 0.675 0.759 0.878 1.024 1.243 1.553 2.047 2.670 1E-9 
6.310E3 0.238 0.264 0.296 0.335 0.389 0.457 0.556 0.706 0.944 1.237 1E-9 
7.943E3 1.032 1.156 1.284 1.473 1.694 2.021 2.466 3.196 4.304 5.676 1E-10
1.000E4 0.444 0.497 0.556 0.635 0.732 0.882 1.079 1.410 1.946 2.615 1E-10
#anti-neutrino flux
1.000E1 1.921 1.997 2.085 2.196 2.329 2.501 2.725 3.038 3.480 3.925 1E-1 
1.259E1 0.965 1.002 1.046 1.103 1.169 1.255 1.369 1.531 1.768 2.030 1E-1 
1.585E1 0.484 0.503 0.524 0.553 0.585 0.630 0.688 0.769 0.898 1.047 1E-1 
1.995E1 2.419 2.521 2.628 2.774 2.936 3.157 3.445 3.869 4.526 5.334 1E-2 
2.512E1 1.206 1.257 1.313 1.388 1.470 1.578 1.726 1.939 2.276 2.706 1E-2 
3.162E1 0.599 0.624 0.654 0.692 0.734 0.788 0.866 0.970 1.144 1.378 1E-2 
3.981E1 2.960 3.092 3.253 3.433 3.667 3.934 4.341 4.876 5.742 7.037 1E-3 
5.012E1 1.456 1.523 1.603 1.699 1.815 1.958 2.157 2.430 2.869 3.549 1E-3 
6.310E1 0.713 0.746 0.784 0.836 0.892 0.970 1.067 1.203 1.431 1.768 1E-3 
7.943E1 3.472 3.653 3.847 4.076 4.393 4.787 5.296 5.998 7.149 8.824 1E-4 
1.000E2 1.685 1.777 1.872 1.987 2.151 2.349 2.610 2.971 3.547 4.404 1E-4 
1.259E2 0.814 0.857 0.903 0.971 1.044 1.144 1.273 1.459 1.746 2.184 1E-4 
1.585E2 0.390 0.412 0.437 0.470 0.506 0.555 0.620 0.717 0.859 1.071 1E-4 
1.995E2 1.875 1.976 2.104 2.259 2.444 2.684 3.006 3.503 4.197 5.235 1E-5 
2.512E2 0.898 0.943 1.007 1.083 1.173 1.296 1.450 1.692 2.037 2.561 1E-5 
3.162E2 0.425 0.449 0.482 0.518 0.562 0.622 0.699 0.814 0.992 1.247 1E-5 
3.981E2 2.007 2.136 2.288 2.469 2.691 2.975 3.364 3.928 4.804 6.034 1E-6 
5.012E2 0.945 1.011 1.078 1.169 1.283 1.422 1.613 1.893 2.311 2.908 1E-6 
6.310E2 0.441 0.472 0.508 0.551 0.608 0.675 0.770 0.903 1.110 1.397 1E-6 
7.943E2 2.045 2.189 2.374 2.578 2.855 3.190 3.651 4.310 5.324 6.682 1E-7 
1.000E3 0.941 1.012 1.096 1.198 1.331 1.500 1.724 2.054 2.543 3.181 1E-7 
1.259E3 0.428 0.463 0.505 0.555 0.617 0.700 0.811 0.968 1.208 1.514 1E-7 
1.585E3 1.930 2.095 2.298 2.534 2.839 3.244 3.777 4.548 5.717 7.207 1E-8 
1.995E3 0.863 0.939 1.032 1.143 1.295 1.489 1.743 2.129 2.692 3.416 1E-8 
2.512E3 0.379 0.418 0.461 0.515 0.584 0.675 0.799 0.983 1.260 1.602 1E-8 
3.162E3 1.672 1.846 2.046 2.293 2.610 3.044 3.641 4.523 5.860 7.522 1E-9 
3.981E3 0.736 0.810 0.900 1.014 1.158 1.361 1.646 2.069 2.704 3.526 1E-9 
5.012E3 0.316 0.352 0.394 0.449 0.510 0.600 0.734 0.931 1.238 1.627 1E-9 
6.310E3 1.363 1.534 1.714 1.946 2.232 2.662 3.225 4.149 5.645 7.456 1E-10
7.943E3 0.593 0.665 0.741 0.832 0.974 1.185 1.417 1.846 2.556 3.404 1E-10
1.000E4 0.256 0.281 0.318 0.361 0.424 0.516 0.634 0.820 1.140 1.541 1E-10  
